,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
103,Wardy,Do not buy a Range Rover Evoque,en,2019-03-14T15:01:20Z,"I bought a Range Rover Evoque,  days ago from Doncaster, It hasn't even got 10,000 miles on the clock and is only a year old. Today it has been towed back to the garage where i bought it as it will not start and the computer system has completely failed! The engine would not even shut off until the Engineer came to stop it!  I get a call from Land Rover Assist saying i can collect a courtessy car from Doncaster as they can't deliver it!  I'm at work, I am not collecting it! Ridiculous!  I expected better from Land Rover!  Keep the Rubbish car!",1,Land Rover
104,Mr Ranindra Gurung,DPF issue,en,2019-03-11T16:04:40Z,"DPF issue, forcing me to buy their product cost £1400.. bought brand new still under warranty but it does not cover. They say because the way I drive is wrong. Over 20 years of driving Land Rover told me I don't know how to drive... is that so?? Do not buy Land Rover.. it's not the same since it was bought by TATA..",1,Land Rover
105,Mr P,Range Rover Evoque - proof that beauty is only skin deep,en,2019-03-07T16:59:53Z,"I lease a Range Rover Evoque Ed4 SE Tech though Lex (company car). It's a beautiful looking vehicle. Thank goodness I don't own it. It's less than 2 years old and in that time it's had a new fuel pump (the original failing after 8 months, due to being badly fitted at the factory, causing it to burn itself out; wiring fault), a new NOC exhaust sensor (the original failing after 20 months; another wiring fault at the factory), and now the head unit has packed in. This means I have no parking sensor functionality, no GPS, no radio and cannot receive/make calls hands-free. It's now been in this state for 7 weeks, and had 4 trips to the dealership to fix the problem. LandRover were informed but the poor communication between them and the dealership means that a replacement head unit may never be forthcoming. Heaven only knows if it'll ever get fixed.
Please think twice before purchasing or even leasing one of these vehicles, and save yourself a lot of frustration. I'll be going for a German car next time around (never had a problem with any of my previous Audi, BMW or VW vehicles).",1,Land Rover
106,svknight1,NICE CAR - HORRIBLE CUSTOMER SERVICE,en,2019-03-05T15:10:43Z,I lease a 2018 LR Velar.  The car is very nice but every aspect of the customer service is HORRIBLE!!!  Two weeks after I got the car the door handle cover fell off.  LR charged me $35 for a replacement and I had to pay to have it painted.  Then I moved to NC from NY and it took LR over 2 weeks to fax 3 document needed to register my car.   My other car is a Buick and the documents were faxed the next day after the request was made.  Tried to get service on my car and had to wait over a month to get an appointment.   It is so frustrating to deal with this company.,1,Land Rover
107,Luis Ferreira,Land Rover is reliable and the best cars to drive,en,2019-03-03T11:38:16Z,"The cars are very reliable, people do not have a full insight of what causes the problems so it's easier to moan, the oil changes is linked to the emissions and other consequences of real life emissions, many other manufacturers have stopped diesel cars or can't even produce them yet the diesel land rovers are cleanest there is. In the air index rating the D5 is 20 times cleaner than an renault clio. If your RR comes up with 20 faults don't think for once the car has that many faults...when the car has something not working to the best of it's capability all of the sensors and computers in the car lose communication hence why it comes up with more than 1 fault. Also if you do more than 10000 miles per annum a big 4x4 is probably not the best option for you!!! Remember the weight of the car, so the wear on brakes, diffs and all that technology needs a lot of maintenance and that comes with a price tag. Think before you criticise, try to understand the reasons of the problems, also people stopped buying people carriers and replacing them with 4x4's, these type of cars weren't made for it.",5,Land Rover
108,niels,Here is my experience from today,en,2019-02-14T12:36:10Z,"Here is my experience from today
Mr Barber
I have been at the your service garage waiting for my car for some 45 min. It has now transpired that the work has not been carried out in spite of the garage confirming this to me earlier. Moreover no responsible individual seems to be able to explain what actually has been done to the car. 
My Uber is about to arrive. Perhaps you could look into the matter and advise when if ever the car might be ready. As it is the car remains undrivable  as it drops into “restricted performance” mode due to an Amber engine light 
Sincerely

Perhaps needless to say Mr Barber(service manager) has not rsponded",1,Land Rover
109,Jason Smith,Having now owned 2 Landrover vehicles I…,en,2019-02-06T12:50:55Z,"Having now owned 2 Landrover vehicles I can only agree with what is being said on here. Sadly LR's reliability is infamous and the company seem unwilling to listen to customer feedback and implement into their manufacturing standards. Been through poor reliability and 7 major warranty issues on a Freelander 2 and now had a similar experience on a Discovery. I can conclude from my ownership that these are some of the Least reliable vehicles I have ever owned to the point of being hesitant to actually drive the Discovery laterally for fear of it going into Limp Home mode. How a company in the modern era, particularly a so called 'luxury brand' like LR can get a away with such poor manufacturing is beyond me. 
Buy German and just avoid the headache and massive hit on your wallet. Traded in for a German SUV and so much the better for it.",1,Land Rover
110,David Slevin,FULL POWER STEERING FAILURE ON LAND ROVER DISCOVERY SPORT,en,2019-02-06T12:30:46Z,"Landrover do not consider failure of power steering in the Discovery Sport an issue. The bolts holding on the power steering to the steering rack are aluminium and sheer off (full main dealer service history 33k miles and 3.5 years old). It leads to full power steering failure which as you can imagine is not ideal given size and weight of these cars. Today (just now) Glen Howells @ landrover customer experience said they were not aware of any issues (despite the fact that replacement parts not being available for weeks due to so many back orders for them and the internet is full of people experiencing these issues). He said ""the internet is a great thing"" basically implying that all the failures were false - somehow with all the back orders I fail to see how they can imply that. In addition he could not confirm if the replacement part (this cost £2350 to fix at the garage) was also made of this - he said he checked with technical people but could not say if it was the same. I asked him if he was saying they don't know what their parts are made from but his answer was that he was adamant that there was not an issue with the Discovery Sport steering... AVOID LANDROVER AT ALL COSTS AS DRIVER AND PUBLIC SAFETY IS NOT ON THEIR PRIORITY LIST",1,Land Rover
111,Steve Dalloway,Great Cars Lousy Dealers.,en,2019-02-05T17:58:56Z,"Great Cars Lousy Dealers.

I had a 2008 Range Rover Sport HSE and it was a really reliable car. No......... joking apart is was. In 8 years I had a few sets of tyres and a new alternator and that's about it. I did have the extended warranty but rarely used it. The costs of servicing though - £1200 for a big service and cam belt change - Ouch !
The dealers I used locally were quite poor in all honesty, but that's really what lets the brand down. I had to wait an hour in the dealership to get my car back from a service desk person because the guy looking after me was on a in house course....... Really ? Naming names Droitwich Land Rover......

My new Diesel Hybrid Range Rover apart from a niggle with the tailgate is absolutely fantastic. Inchcape in Southampton when I got the car were very helpful in the sales process. When the service indicator came on and said I needed a service after just 6 weeks of driving the car, without prompting Inchcape collected the car, gave me a new discovery for a few days and serviced it ""Free of Charge"". I didn't even have to ask, they offered. Impressed so far by this dealer in particular. I was amazed ! The bill I was told was circa £800  Fingers crossed for the new car, but so far its amazing..... I seem to be in the minority though on Trustpilot !",4,Land Rover
112,Mike Juliff,Discovery 5 - Expect NOTHING from Land Rover and they will Always meet expectations!,en,2019-02-03T09:50:14Z,"Having previously owned every Land Rover Discovery model, in 2017 I bought the fantastic new Discovery 5. My only concern when actually getting it, were the pathetic rear direction indicators, where only about 20% of the ‘apparent’ indicator cluster strip actually flashed, which on a car of this size was pretty poor, if not dangerous. Additionally, when braking at the same time, the indicator lights becomes practically invisible. I raised this with JLR who did not see it as a problem. Land Rover were obviously aware of this failing and have ‘quietly’ made a ‘safety enhancement’ to new production Discovery 5’s, where now 100% of the indicator cluster illuminates, which is much better and safer all round. Unfortunately, they decline to retro fix this issue for existing model owners, whose safety, having now parted with their cash, is apparently of no concern . You would think, with new Land Rover sales going off a ‘cliff edge’ , they would want to do everything to protect their existing, loyal customer base!",1,Land Rover
113,Mr Nick Bee,Hunters Landrover Derby - I will AVOID AVOID,en,2019-02-02T17:18:06Z,"Took our Range Rover in for a replacement key on the 15/01/2019.   Should have been £600 but negotiated to £498.   During fitting they crunched the end of our USB phone cable. Service Manager said he would send out a new in the post.   Rang a week later and they had forgotten.  I chased three times with them and they said they had posted one but second class.   Today (2/2/2019),   still no cable.   I rang them and they told me to buy one and send an invoice and they would pass to Senior Manager to consider reimbursement.  Its a £5 cable for the record.   I am not short of £5 but if this is how they do business I will never go there again despite several previous purchases",1,Land Rover
114,Martin Lewis,Bought a 2018 Range Rover sport   3.0…,en,2019-01-31T19:25:31Z,"Bought a 2018 Range Rover sport   3.0 tdv6 When it arrived. Air bag light on no brembo brakes, infotainment system not working.  Parking sensors, bonnet catch the list goes on. No wonder this company is in trouble. Main dealer and customer service are a joke.",1,Land Rover
115,Michael Petty,Abysmal Reliability,en,2019-01-29T09:46:42Z,"I have owned and driven Landrovers for the last 20 years. My current Discovery Sport is one of the best cars I have driven. It is also extremely comfortable and a good looker. 

However, the vehicle is badly let down by reliability, the electrics in particular. For example, I have had problems with battery charging, the Remote App, the screen washer level warning light. Nothing major, but very niggling and should not occur in such an expensive car.

I have now updated my review and removed one star. My car is not yet three years old, has covered less than15,000 miles, and needed new rear brake pads AND discs. I expected the pads not to be covered by the warranty but was flabbergasted to discover that the discs themselves were not covered. I have NEVER experienced brake disc failure on a car less than three years old. To their credit, LR eventually agreed to cover the replacement costs, although I had to fight for this. But, the problem should never had occurred in the first place!!

I have also needed a replacement battery - covered under warranty in this instance. After three days, this new battery failed and I needed to call out LR Assist to get the car going snd provide another replacement battery.

Come on LR, get your act together. You produce good cars. Your company should NOT be at the bottom of the Which reliability survey for cars in a similar category.",2,Land Rover
116,mak dang,Never buy any one LANDROVER CAR range…,en,2019-01-19T00:47:25Z,"Never buy any one LANDROVER CAR range rover product 
at the time write this issue when a plan to buy this car last( sept18 to till date Jan 19) 4month totally money /time wasted and mentally harrassment for this product TOTALLY COMPANY DEALER IN INDIA is badly brand identity spoil major issue deler appoint its scammers and no idea about the before and after sale criteria",1,Land Rover
117,Steeb ANDREW,Range rovers should be for the rich only,en,2019-01-17T18:09:31Z,This brand used to be sold to the 'right' sort . New cheaper models invite people who complain because that cant really afford one. Boo hoo!,5,Land Rover
118,Simon Hughes,Land Rover endorse stealing from cars.,en,2019-01-08T20:49:10Z,"I took my Dicovery Sport into Land Rover Newport to have 2 front tyres changed. When I collected the car it had also been cleaned which was nice although not the greatest of jobs! Anyhow my point being was that I had approximately £11.80 in change within the centre drink console hidden away under the pull back cover. When I got into the car I noticed the cover pulled back slightly and when I looked inside I was left with 35p in very small change. Someone thought they’d help themselves. When I complained, I was told the service manager would call me tomorrow. The service desk didn’t really care or apologise when I told them. Following day and by 1pm no call so I called them. After being told in so many words that it was my fault for leaving money in the car some young receptionist said to me, and I quote.....the service manager said if you’re that bothered about it the come to the dealership and he will reimburse you!!!! Again no apology and I had to disrupt my day, drive 15 miles and collect money that was stolen from me by an employee.  Anyhow I told the young receptionist that as it was a crime I’d be logging it with Gwent police, I know but it’s the principle and it won’t get investigated, and I’d tell all I know about the trustworthiness of Newport Land Rover. The poor receptionist could tell I was loosing it and tried to apologise on behalf of the franchise bless her, it wasn’t her place to apologise. After the phone call still nothing from the franchise. I will not use that Newport franchise again as stealing from customer cars seems to be accepted.",1,Land Rover
119,Kit,"Rude, lazy and arrogant staff",en,2019-01-03T09:35:49Z,"Lancaster Land Rover have the rudest customer service staff you will encounter. Parts guys don't look up and acknowledge your presence, they just continue talking among themselves, and then treat you as an inconvenience. Queries to other depts are met with laziness and incompetence. I now avoid these people. This is in stark contrast to the professional service one receives from Porsche Reading.",1,Land Rover
120,Paul Bryan,"Land Rover are RUBBISH, don't believe just check all reviews online",en,2018-12-28T19:36:14Z,"Firstly I had to give 1star to be ale to give a review as I would have given O
Do not buy they can't be trusted and their vehicles are no longer reliable and any good.
I was just planning buying the new Evoque 2019 
I have had my RR Evoque Dynamic from new costing forty five thousand pounds 
It has Thirty Thousand Miles on the clock, and the steering rack snapped, contacted JLR they don't want to know as it's out of warranty 
PLEASE DO NOT BUY FROM JAGUAR LAND ROVER 
THEY ARE LIVING OF THEIR PAST GOOD NAME AS NOW 
THEY ARE CHEAP AND UNRELAIBLE, AND THEYRE AFTER SALES ARE JUST AS BAD IF NOT WORSE
I'm going back to Mercedes

YOU HAVE BEEN WARNED",1,Land Rover
121,Murat Aydogdu,Never trust LAND ROVER or ANY FRANCHISED DEALERS,en,2018-12-22T13:02:04Z,"you want to buy a car from land rover franchised dealer so you thing you get a good car and 2 year approved warranty but WRONG they are trying to not repair your car under warranty,rubbish custormer service the relation team rubbish don’t really care,even service dealers rubbish no customer service,the car at the garage 3 weeks they dont even call you for update,when you speak to land rover customer relation they dont care.never buy land rover again.its my first experience like this.never had any issue with other companies.",1,Land Rover
122,David Davies,The customer service defies belief in terms of it's awfulness,en,2018-12-20T12:13:35Z,If you want to spend tens of thousands of pounds and then be treated as a major inconvenience then buy Land Rover. If not buy any of the competing brands that surely cannot have worse customer service.,1,Land Rover
123,Ed,Land Rover doesn't believe in free…,en,2018-12-20T04:15:32Z,Land Rover doesn't believe in free speech. I am a veteran and fought for that right. I will not use this companies products. I am asking all my veteran brothers join me.,1,Land Rover
124,Iain Dennis,A manufacturer that simply does NOT care - AVOID,en,2018-12-13T09:32:20Z,"My discovery 4 is now three years old. Its my 5th Discovery and 7th Land Rover so I know all too well what to expect... but the Customer Service is BEYOND appalling. Stop Start not worked for 18 months, something deep within the seat moves under braking and front suspension has a problem where it knocks over bumps. Approved service centre was supposed to fix it all under warranty and materially failed to make any difference whatsoever to any issue (although they were keen to sell me number place bulbs at £18 - I bought them for 25p). Alternative dealers need a six week window to book the car in so I foolishly handed the issue to LR Customer Services who couldn't be LESS interested. Instead of expediting the issue, they dragged their feet until the warranty had expired altogether before telling me that I now had to pay for 'diagnostics'!  

If you are going to buy one of these notoriously problematic machines, you expect some backup from the manufacturer. In this case, they have brilliantly demonstrated that their customer base count for NOTHING. 

The company and its attitude is a disgrace. I rarely lose my temper but the attitude of their customer service people caused me to lose it in a spectacular fashion last week. 

As much as I would love to say support British industry and buy a JLR product, I would advise anyone interested to go elsewhere. A company that respects that you spent £61k on their products and show even a hint of interest in making you buy another. 

I have been driving Austin > Rover > Landrover cars since I was 17. I am considering buying a Skoda! Yes! Really! Never going through this again!

Regrettably..... AVOID Land Rover and its really bad corporate attitude..",1,Land Rover
125,Customer John L,Discovery Sport is nothing short of useless.,en,2018-12-09T11:34:51Z,"We leased a Discovery Sport in October 2017 direct form Land Rover. Not a day has passed without some warning light appearing. In particular the exhaust filter; which has now been replaced twice in less than 12 months, and has yet again failed today only 3 weeks after being replaced for the second time. I feel that I know the lady at Land Rover Assist better than some of my friends, and should be sending her a Christmas Card!. Land Rover Assist are OK, but the main dealer is close to useless and frankly does not care. The standard response is that we should be running the car on long journeys to clear the filter, although I do not recall this being mentioned in the showroom. Expecting customers to undertake long unnecessary trips to overcome your own engineering shortcomings is hardly the stuff of a quality brand. Land Rover are a joke and I will never have another.",1,Land Rover
126,Martyn Butler,2017 Discovery 5 HSE LUX,en,2018-12-06T15:07:45Z,"2017 Discovery 5 HSE LUX - I up-graded from a D4 to this D5 - The car is terrible and it has had 3 oil changes within a 12 month period as the car now requests it! LR say its part of the emission control, my vehicle says it needs an oil change every 6k - The toughest go anywhere car can only do 6k before back to the dealers! Would not of bought it if I had known this - Terrible dealer and terrible Supplier. Waste of 70k",1,Land Rover
127,Woodcock ,Unbelievable experience,en,2018-12-05T18:27:56Z,"Unbelievable experience! They do not want to help!  Brought a 2017 Range Rover sport 5 months ago! Biggest mistake ever! Within the 5 months Land Rover assistant been out 5 times and in total been in garage 2 weeks! The software has a fault and keeps drawing the battery dead! They keep up dating the software but then happens again. As the car is still in warranty we have rejected the car. We would like a line for like replacement said they car not find one. So asked us to take out finance to get a newer model! Actually can not believe it, the business manager of the dealership told me we are not giving you a replacement. They have offers us a refund but gave us £4,000 less then we should of got for our car. Do not want to help with anything only want more money. Been chasing them and they do not get back to you. We now have to take further action as they do not want to help.",1,Land Rover
128,Susan Parsons,Such a disappointment,en,2018-12-03T17:17:20Z,"Such a disappointment. 
We bought a new Range Rover Evoque Autobiography from the Inchcape dealership 1 year ago. Initially we were over the moon with the car, but now we want to hand it back if that were possible.
The issue we have is the breaks which when we reverse screech to an unacceptable noise level. 
We have had the car back with the dealership for weeks over months and still so solution, they are familiar with the problem but seem unable and unwilling to fix it. They tell us we unlucky and have a bad car !!! they neglected to make us aware of the possibility of having a rubbish car when we ordered it. 
If the problem was fixed we would go away happy, but the indifference and prevaricating from the dealership and the Range Rover is infuriating.
I would advise anyone buying an Evoque ask about the problem with the brake pads as they tell us it is common and decide if you want the sound affects as an added extra before buying. 
We are still trying to get someone to pay attention to our problem.",1,Land Rover
129,Alison Trezise.,I have been trying to sort out a claim…,en,2018-11-30T15:32:33Z,"I have been trying to sort out a claim with Land Rover Insurance for over 2 months.  They settled a claim without my agreement and have consistently not returned my calls plus my insurance was for like for like courtesy car and this also never materialised.  For the extra money they charge, their service is a total disgrace!",1,Land Rover
130,Noman,Grange Hainault service is so poor!,en,2018-11-24T18:49:04Z,"Grange Hainault service is so poor! They mess you around, don’t fix things and brand new car is always faulty!!!! Poor and stay away",1,Land Rover
131,A&S S&A,Buy an Audi or Lexus I shall not be buying a 5th land rover this one is my last..,en,2018-11-23T18:57:37Z,I must say I'm unsure how land rover are still on business. The finance department are so unhelpful in every way. It's states they are there to help but no they are not.. I pray land rover go bust after the Brexit so their cars are worth nothing at all and they will be in a position to welcome more people to buy their cars. I've been buying these land rover junk for over 15years I've owned 4 I love the cars but I dislike the customer service in the show rooms and the finance department..,1,Land Rover
132,m docherty,DiscoveryDream turns into nightmare,en,2018-11-21T07:21:21Z,"We have a Discovery sport, it is only 11 months old and has done only 3000 miles, warning came up to say particle filter nearly full, we followed the on screen advice 40 mph for 20 minutes, the warning disappeared , about a month later it came back, we followed the instruction as previous and once again it disappeared, on returning from a weeks holiday this wee, it came back so we followed the instructions but it has now gone red to say it is full, we rang JLR mobility and they sent an engineer out and he said it had probably not cleared totally , they have blamed our driving style, and will not cover the fault, please tell me how do we know it has not cleared when the warning goes out, this was my wife’s dream to own a Discovery, worst company I have ever dealt with, we have an expensive load of junk sitting on our drive and not able to drive it, Thanks a lot Jaguar Land Rover.
If you want to buy a car keep away from JLR",1,Land Rover
133,Robert McEwan,Bought a Land Rover Discovery Sport…,en,2018-11-17T23:46:28Z,"Bought a Land Rover Discovery Sport (HSE 240 petrol) from Guy Salmon Land Rover Sheffield.  Service was superb with regular updates, including availability of early delivery.  Car delivered exactly as expected and had a follow-up call from Natasha to make sure everything was okay and to see if I had any questions.  Lovely car and super service so far.",5,Land Rover
134,David Gibson,I have owned several Land Rover cars…,en,2018-11-13T18:09:00Z,"I have owned several Land Rover cars over the years and my experience with ALL OF THEM is that as soon as you have paid your money for the car they do not want to know you.
Currently I own a 2016 Discovery 4 Landmark edition that I purchased in March 2018 (this year) I have called Land Rover Yeovil twice in the last week and asked to speak to someone in the service department.
Twice they have been too busy to speak to me but promised to call me back later.
Those phone calls never came, so they basically treat you like a second class citizen and tell downright blatant lies when making promises they have no intention of keeping.",1,Land Rover
135,Maria Anderson,Who would have thought that buying a…,en,2018-11-13T14:28:01Z,"Who would have thought that buying a Land Rover would keep you regularly visiting their service centre for issues.  Discovery Sport boot issue...now fixed I think, until today.  Reversing camera works when it feels like it over the parking sensor which I now know is not right.  Rattles in the dash which were fixed a week ago, but  this week had to get Land Rover Assist out as the Discovery starts making seriously awful static electrical sounds through the speakers in reverse and then through the whole car and the radio won't turn off even when I've got out of the car!  Did not feel safe. Phone dealer (Guy Salmon Ascot), who say the issue is not connected to having the rattles fixed. As the waiting list for a loan car is always weeks and weeks away, I can't take in because I wouldn't have a car to drive!   Assist can't replicate the issue when they arrive.  By the way, Assist tried to put it off until the next day (OMG! don't ever break down in the middle of nowhere will you).  Assist can only think that it could be due to heavy rain last night that could possibly be affecting the electrics.  What?!  The car is meant to drive through water, so it hadn't better be.  A shortage of loan cars at the dealer when they have so many indicates there's a catalogue of issues with Land Rover.  A complete disaster purchase only in April 2018 for a 2018 model.  Do not love this car anymore and can't wait to get shot of it.  It's taken up so much of our time.  To add to this, my Husband had problems with his 2016 Range Rover Sport this year whilst we were going to the dealer to place the order for the Discovery of all things.  I think this should have been a sign.  His was a turbo pipe issue that put it into restricted performance (30mph in the outside lane).  That was scary.  Trying to get that sorted was a joke. The service chap (will not be named) could not get anything right and just didn't listen.  The Manager was clearly not interested that we were not getting the service expected.  The sales dept. had to stamp their foot on our behalf as we had a new car on order that we were on the brink of cancelling due to the issues with service.  They managed to change us over to a lovely lady in service that knew what she was doing.  More recently he had an exhaust temperature sensor issue...now fixed.  Not happy customers at all.  His previous model Range Rover Sport turbos went too.  He has to use this vehicle for the type of work he's in, but I will most likely go back to BMW for my next car for better service response time.  My neighbour has had three Ford cars in the last few years and not one issue! How embarrassing!",1,Land Rover
136,Ade Robertson,Want to be treated like an irritation not a valued customer then visit a LR dealer,en,2018-11-13T00:12:53Z,I’ve been been a customer of Beadles Land Rover in Sidcup for ten years. I take my car in for warranty work and receive no paperwork at drop off nor at collection. They keep the car for three weeks as they forget to call me and advise work is completed. They damage the car and claim the damage existed at drop off. I mention my 30 plus high res GPS and time tagged images showing the car in their car park with no damage (I don’t trust them as they’ve damaged a car previously but that time they repaired the car with good grace ). A response is awaited but if this is how they treat a 10 year customer how might they treat one with no prior custom?,1,Land Rover
137,Ashi,Terrible experience,en,2018-11-12T16:25:08Z,"Terrible experience.  Have been chasing landrover maryhill since this morning.  Attempted to contact them 5 times.  At 4pm they informed us that the car was not booked in.  The service person (Jason) went onto ridicule our name.
Basically racist.

We live in Glasgow.  Due to previous experiences we've had to take our car to Ayr.  Much more professional.  My wife spoke to manager who is going to sort things out.  However I think they should be dealing with the racist attitude of the staff.",1,Land Rover
138,Mohseen,Never buy a land rover ..Wont honour warranty,en,2018-11-10T17:17:35Z,I bought a brand new range rover sport with a 5 year warranty.It was a 4 x4 with a 85cm wading depth.I went through water below that annd the vehicle started cutting of.Dealer towed vehicle in and say they wont cover under warranty.Shocking yes such a big company dont care about there reputations.Never buy this vehicle as they dont keep up to there word.There is no support from land rover uk or south Africa.Rather by another brand .My vehicle is still at the dealer and i am getting no assistance.NEVER BUY THIS BRAND LAND ROVER,1,Land Rover
139,Billy Paton,Unfair Treatment of Customers,en,2018-11-10T08:59:01Z,"After waiting for over a year fo my new car i was then told it had been driven into a bridge 

No compensation of any type.  I asked if they would through in a few factory extras as i thought it would cost them next to nothing. This was refused. They said look at accessories so i asked for alloy upgrade, again refused. 

So i came to conclusion they were insincere and basically didnt care. 

Terrible regard from JLR and haulier for my position",1,Land Rover
140,a mustafa,its been almost 4 weeks since my last…,en,2018-11-02T15:17:26Z,its been almost 4 weeks since my last review of landrover and its bad dealership network they are not interested selling the cars its all  a make up saying the sales are down by  £90million  .its one big scam . no one has contact me about the issue i had or the car i wanted. which me belive they are just misleading  the public . and its a way to move production out off the uk . to there new plants in the east europe. the save way mg rover went. we need to becareful .,1,Land Rover
141,darren whibb,Contacted five different dealers to try…,en,2018-10-29T16:25:11Z,"Contacted five different dealers to try and buy a Velar.  Two didn’t respond. One would only talk to me if I physically went into the dealership (approx 1 hr away), and the fourth produced a GFV completely different to what JLR calculate! 

Given up... buying an Audi.",1,Land Rover
142,MS KATE HAMILTON,Terrible experience with Landrover,en,2018-10-18T11:35:24Z,Terrible experience with Lamdrover. Alsorts of problems with the electrics - windows not closing and Bluetooth / stereo issues. Parts of the dash broke and feel off and the paint has also coroded allegedly due to a ‘bird poo’ the car is 11 months old and has been kept clean. They won’t cover it under their warranty and I am disgusted at their service.  This is my second Evoque and I’m kicking myself because I had problems with the first one too -engine losing power which went on for over a year. I put it down to a one off with the car and was sucked in to having a new one at the end of my last deal - never ever again - AVOID!!!!,1,Land Rover
143,Customer syed,They don’t know how to look after their clients,en,2018-10-16T19:11:26Z,"I ordered a brand new Range Rover Autobiography from Marshall’s in Bedford. I was given a delivery date of 14 September. Two weeks ahead of 14th, I wrote to the dealership asking whether the car was on target for the delivery date as I had private buyer for my existing car. Had a positive confirmation so proceeded to sell the car and agreed a pick up date with the buyer of 13th September. On late evening of 8th September the dealer calls me saying there was 4 weeks delay in the delivery and they’d just been told by JLR. I complained and the useless lady from JLR customer service said the delivery date is only but an eta so if I have sold my car then I should sort my transportation until they can tell me when the car will be delivered. Luckily, Marshall’s were great and gave me a courtesy car. However, to this point I have no idea when this expensive piece of metal will arrive. JLR want people to pay such a big premium on their cars but can’t get the basics in client experience right!",1,Land Rover
144,Bradley,Great designs which are over priced and…,en,2018-10-10T21:52:57Z,Great designs which are over priced and the customer service is shocking,3,Land Rover
145,John Hooker,Very happy again after an unfortunately hiccup at 1 year old.,en,2018-10-09T11:40:26Z,"My previous 5 Star report, originally published 19 May 2018 (please read the update, below):

I’ve now owned 6 Land Rovers, 3 new and 3 near new, over the last 7 years and traveled more than 250,000 miles in them and the support I’ve received from them has, on the whole, been excellent.
Apart from a new version of infotainment software, which took a while (with minimum inconvenience to me) and one Disco being off the road for 4 weeks while a faulty fuel pump was diagnosed and fixed, they couldn’t have been more helpful.
The 4 week fuel pump delay (during which time they gave me very nice loaners) resulted in them offering me a very large subsidy to buy the new Range Rover of my dreams “just for the (negligible) inconvenience caused”.
I pay my own money for my cars and I’d be uncomfortable about placing such a large amount of trust in anyone other than these people.

21/9/18 Update:

Gosh, what a difference a few months and a shambles makes :(

My first major problem has seen my £104,000, 10 month old, Full Fat Range Rover off the road for 31 consecutive days with an engine problem, with no indication of when it will be repaired.

I have asked for the car to be exchanged, but LR want me to contribute the equivalent of nearly 10 months' salary for the mere 10 months that my Range Rover actually worked!!

Under their Land Rover Assist scheme, LR provided a Disco for 3 days, then the dealer had to step with their own car for 3 weeks while LR tried and failed to find me a loaner of any kind. LR eventually came up with a 4 pot diesel Jaguar on loan, which I will have had for about 18 days before the earliest date that they hope to have a proper Range Rover to lend to me.

I have been the most loyal customer, buying 6 of their cars (three new and three Approved Used) over the last 7 years and have been a huge advocate of Land Rover over all of that time - resulting in several sales of new, or near new, JLR cars. Then, when I really need help, it's all gone to pieces; it's driven my wife to tears, and me to distraction.

9/10/18 Update:

Car finally returned after 44 days in the workshop, awaiting parts and service bulletin from LR. After around 800 miles it hasn't gone wrong again and normality is slowly being restored. It's still an absolutely wonderful car!

I'm still very unhappy about how I was kept completely in the dark until about 6 days before it was returned and their loan car scheme left me with the dealer having to step in and provide their own loaner for 3 weeks and having to fight tooth and nail to get anything from LR and I never managed to get anything remotely comparable to the car that I was actually paying for.

Still, LR are looking into this and I'm awaiting their response on 11/10/18....

16/10/18 Update:

LR have provided a good Will gesture for the inconvenience. It’s not particularly generous, but it could have been worse.

Trying to forget this recent bad experience and move on and now seeing how it goes for the remaining 3 years of my 4 year contract on this car....

15/5/19 Update, 7 months (and over 20,000 miles) later and it's performing brilliantly again. Happy to shift the overall rating back up from 2 to 4.",4,Land Rover
146,Rob Garner,Gordon Lamb Landrover (Farnell) - Chesterfield,en,2018-10-09T10:23:21Z,"Gordon Lamb Landrover - Chesterfield (Farnell)

Absolutely shocking service, I bought the Evoque SD4 Dynamic from Gordon Lamb Chesterfield (before the dealership was sold to Farnell), the most expensive purchase I have ever made apart from our house, for a luxury brand. 
The salesman and sales manager at the time didn't return calls or follow up on any of my complaints I made in respect of all the many documentation errors made by him, the collection of my new car was literally from the car park, I was told to read my user manual as he didn't know how to work the things inside, and my InControl system was completely messed up after the salesman registered it with another customer, this took several weeks to rectify, predominantly by myself.

The service team have now excelled in continuing to deliver extremely  poor service, I have waited for a week for authorisation on my 4th service, which I have paid for in advance via service plan. I was told quite abruptly by Sandra the service advisor, she had contacted Land Rover several times and it could take unto 30 days to get authorised, ""there is now nothing else she can do."" 
I was told ""If you want to try and contact them, you can to try and get things moving"" but i was offered no contact details or further advice.

Land Rover customer services were excellent and said it had been authorised last week and the Farnell service dept, had basically not done their job and checked the system. 

I am still waiting for an apology for being lied to, the service manager has not responded to my request for a call back.

This company is institutionally poor in upholding the the Land Rover branding and cannot deliver even an adequate customer service, they do however excel in never failing to surprise me with how bad they are.

The product I love, I feel bad for writing a review like this against Land Rover but they should govern their dealerships better.  

Use another dealer because Gordon Lamb Chesterfield are from the dark ages, they have migrated their already poor service to Farnell, who seem happy to operate this way.",1,Land Rover
